ID,Name,Area,Purpose,Jurisdiction,Year of Deployment,Algorithm or Model Type,Manner of Procurement,Developed For or Requested By,Developed By,Proposed or Implemented,Databases Relied On Training or Matching,Examples from Other Jurisdictions,Public Documentation,News Reports,Notes
11,NeoFace,Policing and Surveillance,Facial Recognition,Gurgaon,2019,Machine Learning for Image Recognition,Single Source,Gurugram Metropolitan Development Authority,NEC,Implemented,Not Available,,,https://techobserver.in/2019/05/02/smart-city-gurugram-manesar-to-deploy-1200-cctv-cameras-across-200-traffic-junctions/,
12,ABHED,Policing and Surveillance,Facial Recognition,Rajasthan,2017,Machine Learning for Image Recognition,Not Available,Rajasthan Police,Staqu,Implemented,CCTNS,,,https://www.bgr.in/news/rajasthan-police-testing-ai-based-app-to-register-criminal-offences-465931/,
14,TSCOP,Policing and Surveillance,Facial Recognition,Telangana,2018,Machine Learning for Image Recognition,Not Available,Telangana Police,Not Available,Implemented,CCTNS,,,https://www.newindianexpress.com/cities/hyderabad/2018/aug/03/tscop-app-to-use-facial-recognition-1852485.html,
15,Not Available,Policing and Surveillance,Facial Recognition,Nagpur,2017,Machine Learning for Image Recognition,Not Available,Nagpur Police,Not Available,Implemented,Not Available,,https://smartnet.niua.org/sites/default/files/resources/ppt%2019%20may%20nagpur.pdf,,
16,Trinetra,Policing and Surveillance,"Facial Recognition, Crime Data Analytics",Uttar Pradesh,2018,Machine Learning for Image Recognition,Not Available,Uttar Pradesh Police,Staqu,Implemented,"SCRB Databases, Prisons database, railway police database",,,https://www.hindustantimes.com/lucknow/now-up-police-to-use-criminal-tracker-trinetra-app/story-Hm9S8Sw83oxYfM1j2SdH4M.html,
17,Not Available,Policing and Surveillance,Facial Recognition,Gujarat,2020,Machine Learning for Image Recognition,Not Available,"Vadodara Police, Gujarat Police",Clearview AI,Proposed,"database of absconders, missing children, and criminals who have not been arrested",,,https://www.medianama.com/2020/02/223-vadodara-police-facial-recognition-clearview-ai/; https://www.ndtv.com/india-news/gujarat-police-tests-artificial-intelligence-based-facial-recognition-system-to-track-missing-offenders-2280011,
18,Not Available,Policing and Surveillance,Facial Recognition,Kolkata,Not Available,Machine Learning for Image Recognition,Not Available,Kolkata Police,Not Available,Proposed,Not Available,,http://www.kolkatapolice.gov.in/writereaddata/Tender/3216.pdf,https://www.dnaindia.com/india/report-kolkata-police-to-use-facial-recognition-system-to-track-criminals-2798368,
19,Prahaar,Policing and Surveillance,Facial Recognition,Bihar,Not Available,Machine Learning for Image Recognition,Not Available,Bihar Police,Not Available,Proposed,Not Available,,http://biharpolice.bih.nic.in/tender%202018/TENDER-36-2018-19.pdf,,
20,Not Available,Policing and Surveillance,Facial Recognition,Across India,2020,Machine Learning for Image Recognition,Open Tender,"RailTel, Other Railyway Police Systems",Not Available,Implemented,Not Available,,,https://www.financialexpress.com/infrastructure/railways/why-indian-railways-is-installing-facial-recognition-technology-at-its-railway-stations/1817770/,
21,Not Available,Policing and Surveillance,Facial Recognition,Kerala,Not Available,Machine Learning for Image Recognition,Not Available,Kerala Police,Cyberdome,Proposed,Not Available,,,https://www.thehindu.com/news/national/kerala/facial-recognition-tech-to-aid-police/article24426750.ece,
22,Automated Facial Recognition System,Policing and Surveillance,Facial Recognition,Across India,Not Available,Machine Learning for Image Recognition,Open Tender,NCRB,Not Available,Proposed,"Passport, CCTNS, ICJS and Prisons, Ministry of women and child development (KhoyaPaya) State or National Automated Fingerprint Identification System or any other image database available with police/other entity.",,,,
23,Maharashtra Big Data Analysis Tool,Policing and Surveillance,Social Media Surveillance,Maharashtra,Not Available,Not Available,Open Tender,Maharashtra Police,Not Available,Proposed,Not Available,,https://maharashtra.etenders.in/tpoimages/MAPO/tender/Tender2185.pdf,,
24,CMAPS,Policing and Surveillance,Predictive Policing,"New Delhi, Rajasthan, Haryana, Uttar Pradesh",2015,GIS / Spatial Analysis Algorithms,Not Available,"Delhi Police, Rajasthan Policy, Haryana Police, Uttar Pradesh Police",ISRO-ADRIN,Implemented,"Dial-100, CCTNS",,,,
25,Not Available,Policing and Surveillance,Crime Data Analytics,Not Available,Not Available,Not Available,Not Available,NCRB,ADRIN,Proposed,Not Available,,,https://www.newindianexpress.com/nation/2017/sep/23/indian-police-to-be-armed-with-big-data-software-to-predict-crime-1661708.html,
26,COGNOS,Policing and Surveillance,Crime Data Analytics,"Jharkhand, Punjab",Not Available,Not Available,Not Available,"Jharkhand Police, Punjab Police",IBM,Implemented,CCTNS,,ftp://ftp.software.ibm.com/software/data/sw-library/cognos/pdfs/whitepapers/wp_crime_prediction_and_prevention.pdf,,
27,Trinetra,Policing and Surveillance,Crime Data Analytics,Uttar Pradesh ,2018,Not Available,Not Available,Uttar Pradesh Police,Staqu,Implemented,Not Available,,,,
28,Not Available,Policing and Surveillance,Crime Data Analytics,Orissa ,Not Available,Not Available,Open Tender,Odisha Police,Not Available,Proposed,CCTNS,,,,
29,PRAHAAR ,Policing and Surveillance,Crime Data Analytics,Bihar,Not Available,Not Available,Open Tender,Bihar Police,Not Available,Proposed,Not Available,,,,
30,Not Available,Policing and Surveillance,Crime Data Analytics,Rajasthan,Not Available,Not Available,Not Available,Rajasthan Police,Not Available,Proposed,Not Available,,https://www.police.rajasthan.gov.in/Rajasthan/Tender/RFP%20for%20Hiring%20of%20ServicesDataLake.pdf,,
31,Social Media Lab,Policing and Surveillance,Sentiment Analysis,Mumbai,2013,Natural Language Processing,Not Available,Mumbai Police,NASSCOM,Implemented,Social Media Data,,,https://www.thehindu.com/news/national/mumbai-gets-countrys-first-social-media-lab/article4516705.ece,
32,Not Available,Policing and Surveillance,Sentiment Analysis,Uttar Pradesh ,2020,Natural Language Processing,Not Available,Uttar Pradesh Police,Not Available,Implemented,Social Media Data,,,https://timesofindia.indiatimes.com/india/police-using-online-tools-to-gauge-post-ayodhya-mood/articleshow/71999523.cms; https://www.dawn.com/news/1516088,
33,AASMA (Advanced Application for Social Media Analytics),Policing and Surveillance,Sentiment Analysis,Across India,2018,Natural Language Processing,Not Available,40 Government Departments,IIT Delhi + Meity,Implemented,Social Media Data,,https://bprd.nic.in/WriteReadData/userfiles/file/201608021159197579181SocialMediaLab-.pdf,https://scroll.in/article/893015/40-government-departments-are-using-a-social-media-surveillance-tool-and-little-is-known-of-it,
34,PhotoDNA,Policing and Surveillance,Social Media Surveillance,Across India,Not Available,Image Fingerprinting,Not Available,CBI,Microsoft,Proposed,Social Media Data,,,https://indianexpress.com/article/india/cbi-surveillance-photodna-microsoft-facebook-youtube-twitter-5516347/,
35,Not Available,Policing and Surveillance,"Sentiment Analysis, Social Media Surveillance, Counter-Disinformation",Across India,Not Available,Natural Language Processing,Open Tender,BECIL,Not Available,Proposed,Social Media Data,,EOI on File,https://www.medianama.com/2020/06/223-india-social-media-surveillance-proposal-fake-news/,
36,Not Available,Welfare,Beneficiary Identification for Farm Loan Waiver ,Karnataka,2019,Deduplication algorithm,Internally Developed,"Revenue Dept., Govt. of Karnataka",Munish Moudgil (IAS),Implemented,Not Available,,,https://www.deccanherald.com/state/meet-code-coder-behind-hdk-s-711566.html,
37,Not Available,Welfare,Farm Loan Waiver Identification,Maharashtra,2014,Deduplication algorithm,Not Available,Govt. of Maharashtra (CSMSSY),Not Available,Implemented,Not Available,,,https://www.firstpost.com/politics/farm-loan-waivers-aadhaar-linkage-and-the-role-of-mahaonline-maharashtra-it-secretarys-claims-debunked-4258065.html,
38,FACTS (Fraud Analytics Control and Tracking System),Health,Health Inusrance Fraud Analaysis (Ayushman Bharat),Across India,2020,Machine Learning ,Not Available,National Health Authority,SAS,Implemented,Not Available,,,https://economictimes.indiatimes.com/tech/internet/sas-partners-nha-for-fraud-detection-prevention-through-data-analytics/articleshow/77220114.cms?from=mdr,
39,Aarogya Setu,Health,Digital Contact Tracing,Across India,2020,Not Available,Not Available,NIC,Not Available,Implemented,Not Available,,,https://www.bloombergquint.com/coronavirus-outbreak/covid-19-how-the-aarogya-setu-app-handles-your-data,
40,Project Insight,Taxation,Tax Fraud Analytics,Across India,2019,Machine Learning,Open Tender,Central Board of Direct Taxes,L&T India,Implemented,"registrars of property, banks, financial institutions, stock exchanges, tax deductors etc.",,,https://www.livemint.com/news/india/income-tax-department-to-use-big-data-in-full-blast-from-fy20-1554262557273.html,
41,Samagra Vedika,Welfare,Pension Fraud Analytics,Telangana,2020,Machine Learning,Not Available,Government of Telangana,Not Available,Implemented,"Vehicles, Electricity, Water, Ration Card, Pension, House and Land",,http://pubdocs.worldbank.org/en/945071576869997489/GT-Venkateshwar-Rao-Presentation-on-Samagra-Vedika-to-Wordl-Bank-seminat-Dec-19.pdf,https://www.newindianexpress.com/states/telangana/2020/aug/30/samagra-vedika-helps-detect-fraud-applicants-in-telangana-government-schemes-2190065.html,
42,Samagra Vedika,Welfare,Beneficiary Eligibility for Welfare Schemes,Telangana,2020,Machine Learning,Not Available,Government of Telangana,Not Available,Implemented,"Vehicles, Electricity, Water, Ration Card, Pension, House and Land",,http://pubdocs.worldbank.org/en/945071576869997489/GT-Venkateshwar-Rao-Presentation-on-Samagra-Vedika-to-Wordl-Bank-seminat-Dec-19.pdf,https://www.livemint.com/politics/policy/telangana-govt-creates-citizen-data-tracking-tool-raises-privacy-concerns-1562673937701.html,
43,KALIA,Welfare ,Beneficiary Eligibility for Welfare Schemes,Odisha,2019,Not Available,Not Available,Government of Odisha,Not Available,Implemented,Not Available,,,https://www.hindustantimes.com/india-news/odisha-plans-social-registry-to-weed-out-ghost-beneficiaries-using-aadhaar/story-d8XNv9Jv8zVpp4tDbHyohP.html,
44,Integrated Social Protection Delivery Platform,Welfare ,Beneficiary Eligibility for Welfare Schemes,Odisha,Not Available,Not Available,Not Available,Government of Odisha,Not Available,Proposed,Not Available,,,https://www.thehindu.com/news/national/odisha-to-come-up-with-social-registry-for-all-welfare-programmes/article29872337.ece,
45,Samagra Vedika,Welfare,Beneficiary Eligibility for Welfare Schemes,Telangana,2016,Deduplication algorithm,Not Available,Government of Telangana,Not Available,Implemented,"Aadhaar, National Food Security Act, PDS",,,https://caravanmagazine.in/government/cancelled-ration-cards-deprived-telanganas-poor-of-food-rations-amid-lockdown,
46,PMUY,Welfare,Beneficiary Eligibility for Welfare Schemes,Across India,2016,Deduplication algorithm,Not Available,Government of India,NIC,Implemented,Not Available,,https://informaticsweb.nic.in/article/ujjwala-textual-and-demographic-de-duplication,,
47,Aadhaar/ UID,Welfare,"Biometric Identification, Beneficiary Eligibility",Across India,2009,"Signal Processing Algorithm, Deduplication algorithm",Not Available,"UIDAI, Government of India",Not Available,Implemented,Not Available,,,,
48,MNREGA / Aadhaar,Welfare,Beneficiary Eligibility for Welfare Schemes,Across India,2016,Deduplication algorithm,Not Available,"UIDAI, Government of India",Not Available,Implemented,Not Available,,,https://thewire.in/government/aadhaar-mgnrega-errors-corruption,
49,PDS / Aadhaar,Welfare,Beneficiary Eligibility for Welfare Schemes,Across India,2016,Deduplication algorithm,Not Available,"UIDAI, Government of India",Not Available,Implemented,Not Available,,,https://thewire.in/rights/jharkhand-aadhaar-pds-nfsa,
50,Not Available,Welfare,Beneficiary Eligibility for Welfare Schemes,Odisha,2018,Data Matching Algorithm,Not Available,"Food Supplies and Consumer Welfare Department, Government of Orissa",IBM,Implemented,Not Available,,,https://www.ibm.com/case-studies/governmentofodisha,
51,Big Data Environment,Welfare,Not Available,Rajasthan,2017,Not Available,Open Tender,Government of Rajasthan,Teradata,Proposed,Not Available,,,https://cio.economictimes.indiatimes.com/news/big-data/government-of-rajasthan-selects-teradata-big-data-solutions-to-improve-citizen-services-engagement/61765605,
52,Makkal,Welfare,"Beneficiary Eligibility for Welfare Schemes, Identification",Tamil Nadu,Not Available,Not Available,Not Available,Government of Tamil Nadu,Not Available,Proposed,Not Available,,,,
53,Samagra,Welfare,Beneficiary Eligibility for Welfare Schemes ,Madhya Pradesh,Not Available,Not Available,Not Available,Government of Madhya Pradesh,Not Available,Not Available,Not Available,,http://pubdocs.worldbank.org/en/572801576870014312/B-Chandrashekhar-Samagra.pdf,,
54,NERPAP,Elections,Voter Identification,"Telangana, Bihar",2015,Deduplication,Not Available,Election Commission of India,Not Available,Implemented,Not Available,,,https://economictimes.indiatimes.com/news/politics-and-nation/3-75-lakh-booth-level-multiple-electoral-roll-entries-in-bihar/articleshow/46557063.cms?from=mdr; https://www.thenewsminute.com/article/democracy-stake-why-many-eligible-voters-might-not-vote-telangana-dec-7-92706,
55,Real Time Authentication of Voter Identity,Elections,Voter Identification,"Kompally Municipality, Telangana",2020,Machine Learning for Image Recognition,Not Available,Telangana State Election Commission,Not Available,Implemented,Not Available,,,https://www.thehindu.com/sci-tech/technology/telangana-tests-facial-recognition-in-local-polls-as-privacy-fears-mount/article30623453.ece,
56,Not Available,Education,School Allocation,Karnataka,2019,Not Available,Not Available,"Department of Public Instruction, Government of Karnataka",Not Available,Implemented,Not Available,,,https://www.newskarnataka.com/bangalore/rte-free-quota-rules-changed-first-preference-to-government-schools,
57,Not Available,Education,School Allocation,Nagpur,2019,Not Available,Not Available,Education Department,NIC,Implemented,Not Available,,,https://timesofindia.indiatimes.com/city/nagpur/fix-rte-mapping-software/articleshow/73850161.cms; https://timesofindia.indiatimes.com/city/nagpur/incorporating-various-quotas-in-software-delays-rte-admissions/articleshow/68118991.cms,
58,Not Available,Education,Student Performance,Andhra Pradesh,2016,Predictive Analytics / Profiling,Single Source,Niti Aayog,Microsoft,Implemented,Not Available,,,https://thewire.in/politics/aadhaar-in-andhra-chandrababu-naidu-microsoft-have-a-plan-for-curbing-school-dropouts,
59,Not Available,Education,Facial Recognition for Student Attendance,Tamil Nadu,2019,Machine Learning for Image Recognition,Not Available,Not Available,Not Available,Implemented,Not Available,,,https://timesofindia.indiatimes.com/city/chennai/chennai-government-school-sees-85-drop-in-latecomers/articleshow/71121118.cms,
60,Not Available,Banking and Finance,Credit Risk Scoring,Across India,Not Available,Machine Learning for Image Recognition,Not Available,Public Sector Banks,Not Available,Proposed,Not Available,,,https://www.medianama.com/2020/02/223-economic-survey-january-2020-public-sector-banks-gstn-loans//,
63,Not Available,Transport,Automated Number Plate Recognition,Coimbatore,Not Available,Machine Learning for Image Recognition,Not Available,Coimbatore City Police,Not Available,Implemented,Vahan,,,https://www.thehindu.com/news/cities/Coimbatore/smart-traffic-cameras-in-coimbatore-city-in-final-stages-of-integration-with-vahan/article32865756.ece,
64,Not Available,Transport,Automated Number Plate Recognition,Behrampur,Not Available,Machine Learning for Image Recognition,Not Available,Behrampur Municipal Corporation,Not Available,Implemented,Vahan,,,https://odishatv.in/odisha-news/beware-traffic-violators-new-itms-system-to-be-launched-in-berhampur-soon-352189,
65,Not Available,Transport,Automated Number Plate Recognition,Kerala,Not Available,Machine Learning for Image Recognition,Not Available,"Motor Vehicles Department, Kerala",Not Available,Implemented,Vahan,,,,
66,Not Available,Transport,Automated Number Plate Recognition,Kolkata ,Not Available,Machine Learning for Image Recognition,Not Available,Kolkata Police,Not Available,Proposed,Vahan,,,,
67,Not Available,Sanitation,"Worker Performance, Urban Planning",Pimpri Chinchwad ,Not Available,Not Available,Not Available,Pimpri Chinchwad Municipal Corporation,Not Available,Implemented,Not Available,,,https://www.hindustantimes.com/pune-news/pimpri-chinchwad-municipal-corporation-to-track-sanitation-workers-through-smartwatches/story-65rX7WgC5c15HY5gYztVDK.html,
69,Human Efficiency Tracking System (Brand Name Imtrac),Sanitation,"Worker Performance, Urban Planning",Chandigarh,2019,Not Available,Not Available,Panchkula,Imtac,Implemented,Not Available,,,https://www.huffingtonpost.in/entry/swachh-bharat-surveillance-sanitation-chandigarh_in_5fa01933c5b6501b4ba6682f,
70,Human Efficiency Tracking System,Sanitation,"Worker Performance, Urban Planning",Nagpur,2018,Not Available,Not Available,Nagpur Municipal Corporation,ITI Limited,Implemented,Not Available,,,https://thewire.in/labour/sanitation-workers-nagpur-gps-tracking,
71,Human Efficiency Tracking System,Sanitation,"Worker Performance, Urban Planning",Indore,Not Available,Not Available,Not Available,Smart City Indore Development Ltd.,ITI Limited,Implemented,Not Available,,,https://www.smartcityindore.org/ongoing-projects/,
