ID,Name,Area,Purpose,Jurisdiction,Year of Deployment,Algorithm or Model Type,Manner of Procurement,Developed For or Requested By,Developed By,Proposed or Implemented,Databases Relied On Training or Matching,Examples from Other Jurisdictions,Public Documentation,News Reports,Notes
11,NeoFace,Policing and Surveillance,Facial Recognition,Gurgaon,2019,Machine Learning for Image Recognition,Single Source,Gurugram Metropolitan Development Authority,NEC,Implemented,,,,https://techobserver.in/2019/05/02/smart-city-gurugram-manesar-to-deploy-1200-cctv-cameras-across-200-traffic-junctions/,
12,ABHED,Policing and Surveillance,Facial Recognition,Rajasthan,2017,Machine Learning for Image Recognition,,Rajasthan Police,Staqu,Implemented,CCTNS,,,https://www.bgr.in/news/rajasthan-police-testing-ai-based-app-to-register-criminal-offences-465931/,
14,TSCOP,Policing and Surveillance,Facial Recognition,Telangana,2018,Machine Learning for Image Recognition,,Telangana Police,,Implemented,CCTNS,,,https://www.newindianexpress.com/cities/hyderabad/2018/aug/03/tscop-app-to-use-facial-recognition-1852485.html,
15,,Policing and Surveillance,Facial Recognition,Nagpur,2017,Machine Learning for Image Recognition,,Nagpur Police,,Implemented,,,https://smartnet.niua.org/sites/default/files/resources/ppt%2019%20may%20nagpur.pdf,,
16,Trinetra,Policing and Surveillance,"Facial Recognition, Crime Data Analytics",Uttar Pradesh,2018,Machine Learning for Image Recognition,,Uttar Pradesh Police,Staqu,Implemented,"SCRB Databases, Prisons database, railway police database",,,https://www.hindustantimes.com/lucknow/now-up-police-to-use-criminal-tracker-trinetra-app/story-Hm9S8Sw83oxYfM1j2SdH4M.html,
17,,Policing and Surveillance,Facial Recognition,Gujarat,2020,Machine Learning for Image Recognition,,"Vadodara Police, Gujarat Police",Clearview AI,Proposed,"database of absconders, missing children, and criminals who have not been arrested",,,https://www.medianama.com/2020/02/223-vadodara-police-facial-recognition-clearview-ai/; https://www.ndtv.com/india-news/gujarat-police-tests-artificial-intelligence-based-facial-recognition-system-to-track-missing-offenders-2280011,
18,,Policing and Surveillance,Facial Recognition,Kolkata,,Machine Learning for Image Recognition,,Kolkata Police,,Proposed,,,http://www.kolkatapolice.gov.in/writereaddata/Tender/3216.pdf,https://www.dnaindia.com/india/report-kolkata-police-to-use-facial-recognition-system-to-track-criminals-2798368,
19,Prahaar,Policing and Surveillance,Facial Recognition,Bihar,,Machine Learning for Image Recognition,,Bihar Police,,Proposed,,,http://biharpolice.bih.nic.in/tender%202018/TENDER-36-2018-19.pdf,,
20,,Policing and Surveillance,Facial Recognition,Across India,2020,Machine Learning for Image Recognition,Open Tender,"RailTel, Other Railyway Police Systems",,Implemented,,,,https://www.financialexpress.com/infrastructure/railways/why-indian-railways-is-installing-facial-recognition-technology-at-its-railway-stations/1817770/,
21,,Policing and Surveillance,Facial Recognition,Kerala,,Machine Learning for Image Recognition,,Kerala Police,Cyberdome,Proposed,,,,https://www.thehindu.com/news/national/kerala/facial-recognition-tech-to-aid-police/article24426750.ece,
22,Automated Facial Recognition System,Policing and Surveillance,Facial Recognition,Across India,,Machine Learning for Image Recognition,Open Tender,NCRB,,Proposed,"Passport, CCTNS, ICJS and Prisons, Ministry of women and child development (KhoyaPaya) State or National Automated Fingerprint Identification System or any other image database available with police/other entity.",,,,
23,Maharashtra Big Data Analysis Tool,Policing and Surveillance,Social Media Surveillance,Maharashtra,,,Open Tender,Maharashtra Police,,Proposed,,,https://maharashtra.etenders.in/tpoimages/MAPO/tender/Tender2185.pdf,,
24,CMAPS,Policing and Surveillance,Predictive Policing,"New Delhi, Rajasthan, Haryana, Uttar Pradesh",2015,GIS / Spatial Analysis Algorithms,,"Delhi Police, Rajasthan Policy, Haryana Police, Uttar Pradesh Police",ISRO-ADRIN,Implemented,"Dial-100, CCTNS",,,,
25,,Policing and Surveillance,Crime Data Analytics,,,,,NCRB,ADRIN,Proposed,,,,https://www.newindianexpress.com/nation/2017/sep/23/indian-police-to-be-armed-with-big-data-software-to-predict-crime-1661708.html,
26,COGNOS,Policing and Surveillance,Crime Data Analytics,"Jharkhand, Punjab",,,,"Jharkhand Police, Punjab Police",IBM,Implemented,CCTNS,,ftp://ftp.software.ibm.com/software/data/sw-library/cognos/pdfs/whitepapers/wp_crime_prediction_and_prevention.pdf,,
27,Trinetra,Policing and Surveillance,Crime Data Analytics,Uttar Pradesh ,2018,,,Uttar Pradesh Police,Staqu,Implemented,,,,,
28,,Policing and Surveillance,Crime Data Analytics,Orissa ,,,Open Tender,Odisha Police,,Proposed,CCTNS,,,,
29,PRAHAAR ,Policing and Surveillance,Crime Data Analytics,Bihar,,,Open Tender,Bihar Police,,Proposed,,,,,
30,,Policing and Surveillance,Crime Data Analytics,Rajasthan,,,,Rajasthan Police,,Proposed,,,https://www.police.rajasthan.gov.in/Rajasthan/Tender/RFP%20for%20Hiring%20of%20ServicesDataLake.pdf,,
31,Social Media Lab,Policing and Surveillance,Sentiment Analysis,Mumbai,2013,Natural Language Processing,,Mumbai Police,NASSCOM,Implemented,Social Media Data,,,https://www.thehindu.com/news/national/mumbai-gets-countrys-first-social-media-lab/article4516705.ece,
32,,Policing and Surveillance,Sentiment Analysis,Uttar Pradesh ,2020,Natural Language Processing,,Uttar Pradesh Police,,Implemented,Social Media Data,,,https://timesofindia.indiatimes.com/india/police-using-online-tools-to-gauge-post-ayodhya-mood/articleshow/71999523.cms; https://www.dawn.com/news/1516088,
33,AASMA (Advanced Application for Social Media Analytics),Policing and Surveillance,Sentiment Analysis,Across India,2018,Natural Language Processing,,40 Government Departments,IIT Delhi + Meity,Implemented,Social Media Data,,https://bprd.nic.in/WriteReadData/userfiles/file/201608021159197579181SocialMediaLab-.pdf,https://scroll.in/article/893015/40-government-departments-are-using-a-social-media-surveillance-tool-and-little-is-known-of-it,
34,PhotoDNA,Policing and Surveillance,Social Media Surveillance,Across India,,Image Fingerprinting,,CBI,Microsoft,Proposed,Social Media Data,,,https://indianexpress.com/article/india/cbi-surveillance-photodna-microsoft-facebook-youtube-twitter-5516347/,
35,,Policing and Surveillance,"Sentiment Analysis, Social Media Surveillance, Counter-Disinformation",Across India,,Natural Language Processing,Open Tender,BECIL,,Proposed,Social Media Data,,EOI on File,https://www.medianama.com/2020/06/223-india-social-media-surveillance-proposal-fake-news/,
36,,Welfare,Beneficiary Identification for Farm Loan Waiver ,Karnataka,2019,Deduplication algorithm,Internally Developed,"Revenue Dept., Govt. of Karnataka",Munish Moudgil (IAS),Implemented,,,,https://www.deccanherald.com/state/meet-code-coder-behind-hdk-s-711566.html,
37,,Welfare,Farm Loan Waiver Identification,Maharashtra,2014,Deduplication algorithm,,Govt. of Maharashtra (CSMSSY),,Implemented,,,,https://www.firstpost.com/politics/farm-loan-waivers-aadhaar-linkage-and-the-role-of-mahaonline-maharashtra-it-secretarys-claims-debunked-4258065.html,
38,FACTS (Fraud Analytics Control and Tracking System),Health,Health Inusrance Fraud Analaysis (Ayushman Bharat),Across India,2020,Machine Learning ,,National Health Authority,SAS,Implemented,,,,https://economictimes.indiatimes.com/tech/internet/sas-partners-nha-for-fraud-detection-prevention-through-data-analytics/articleshow/77220114.cms?from=mdr,
39,Aarogya Setu,Health,Digital Contact Tracing,Across India,2020,,,NIC,,Implemented,,,,https://www.bloombergquint.com/coronavirus-outbreak/covid-19-how-the-aarogya-setu-app-handles-your-data,
40,Project Insight,Taxation,Tax Fraud Analytics,Across India,2019,Machine Learning,Open Tender,Central Board of Direct Taxes,L&T India,Implemented,"registrars of property, banks, financial institutions, stock exchanges, tax deductors etc.",,,https://www.livemint.com/news/india/income-tax-department-to-use-big-data-in-full-blast-from-fy20-1554262557273.html,
41,Samagra Vedika,Welfare,Pension Fraud Analytics,Telangana,2020,Machine Learning,,Government of Telangana,,Implemented,"Vehicles, Electricity, Water, Ration Card, Pension, House and Land",,http://pubdocs.worldbank.org/en/945071576869997489/GT-Venkateshwar-Rao-Presentation-on-Samagra-Vedika-to-Wordl-Bank-seminat-Dec-19.pdf,https://www.newindianexpress.com/states/telangana/2020/aug/30/samagra-vedika-helps-detect-fraud-applicants-in-telangana-government-schemes-2190065.html,
42,Samagra Vedika,Welfare,Beneficiary Eligibility for Welfare Schemes,Telangana,2020,Machine Learning,,Government of Telangana,,Implemented,"Vehicles, Electricity, Water, Ration Card, Pension, House and Land",,http://pubdocs.worldbank.org/en/945071576869997489/GT-Venkateshwar-Rao-Presentation-on-Samagra-Vedika-to-Wordl-Bank-seminat-Dec-19.pdf,https://www.livemint.com/politics/policy/telangana-govt-creates-citizen-data-tracking-tool-raises-privacy-concerns-1562673937701.html,
43,KALIA,Welfare ,Beneficiary Eligibility for Welfare Schemes,Odisha,2019,,,Government of Odisha,,Implemented,,,,https://www.hindustantimes.com/india-news/odisha-plans-social-registry-to-weed-out-ghost-beneficiaries-using-aadhaar/story-d8XNv9Jv8zVpp4tDbHyohP.html,
44,Integrated Social Protection Delivery Platform,Welfare ,Beneficiary Eligibility for Welfare Schemes,Odisha,,,,Government of Odisha,,Proposed,,,,https://www.thehindu.com/news/national/odisha-to-come-up-with-social-registry-for-all-welfare-programmes/article29872337.ece,
45,Samagra Vedika,Welfare,Beneficiary Eligibility for Welfare Schemes,Telangana,2016,Deduplication algorithm,,Government of Telangana,,Implemented,"Aadhaar, National Food Security Act, PDS",,,https://caravanmagazine.in/government/cancelled-ration-cards-deprived-telanganas-poor-of-food-rations-amid-lockdown,
46,PMUY,Welfare,Beneficiary Eligibility for Welfare Schemes,Across India,2016,Deduplication algorithm,,Government of India,NIC,Implemented,,,https://informaticsweb.nic.in/article/ujjwala-textual-and-demographic-de-duplication,,
47,Aadhaar/ UID,Welfare,"Biometric Identification, Beneficiary Eligibility",Across India,2009,"Signal Processing Algorithm, Deduplication algorithm",,"UIDAI, Government of India",,Implemented,,,,,
48,MNREGA / Aadhaar,Welfare,Beneficiary Eligibility for Welfare Schemes,Across India,2016,Deduplication algorithm,,"UIDAI, Government of India",,Implemented,,,,https://thewire.in/government/aadhaar-mgnrega-errors-corruption,
49,PDS / Aadhaar,Welfare,Beneficiary Eligibility for Welfare Schemes,Across India,2016,Deduplication algorithm,,"UIDAI, Government of India",,Implemented,,,,https://thewire.in/rights/jharkhand-aadhaar-pds-nfsa,
50,,Welfare,Beneficiary Eligibility for Welfare Schemes,Odisha,2018,Data Matching Algorithm,,"Food Supplies and Consumer Welfare Department, Government of Orissa",IBM,Implemented,,,,https://www.ibm.com/case-studies/governmentofodisha,
51,Big Data Environment,Welfare,,Rajasthan,2017,,Open Tender,Government of Rajasthan,Teradata,Proposed,,,,https://cio.economictimes.indiatimes.com/news/big-data/government-of-rajasthan-selects-teradata-big-data-solutions-to-improve-citizen-services-engagement/61765605,
52,Makkal,Welfare,"Beneficiary Eligibility for Welfare Schemes, Identification",Tamil Nadu,,,,Government of Tamil Nadu,,Proposed,,,,,
53,Samagra,Welfare,Beneficiary Eligibility for Welfare Schemes ,Madhya Pradesh,,,,Government of Madhya Pradesh,,,,,http://pubdocs.worldbank.org/en/572801576870014312/B-Chandrashekhar-Samagra.pdf,,
54,NERPAP,Elections,Voter Identification,"Telangana, Bihar",2015,Deduplication,,Election Commission of India,,Implemented,,,,https://economictimes.indiatimes.com/news/politics-and-nation/3-75-lakh-booth-level-multiple-electoral-roll-entries-in-bihar/articleshow/46557063.cms?from=mdr; https://www.thenewsminute.com/article/democracy-stake-why-many-eligible-voters-might-not-vote-telangana-dec-7-92706,
55,Real Time Authentication of Voter Identity,Elections,Voter Identification,"Kompally Municipality, Telangana",2020,Machine Learning for Image Recognition,,Telangana State Election Commission,,Implemented,,,,https://www.thehindu.com/sci-tech/technology/telangana-tests-facial-recognition-in-local-polls-as-privacy-fears-mount/article30623453.ece,
56,,Education,School Allocation,Karnataka,2019,,,"Department of Public Instruction, Government of Karnataka",,Implemented,,,,https://www.newskarnataka.com/bangalore/rte-free-quota-rules-changed-first-preference-to-government-schools,
57,,Education,School Allocation,Nagpur,2019,,,Education Department,NIC,Implemented,,,,https://timesofindia.indiatimes.com/city/nagpur/fix-rte-mapping-software/articleshow/73850161.cms; https://timesofindia.indiatimes.com/city/nagpur/incorporating-various-quotas-in-software-delays-rte-admissions/articleshow/68118991.cms,
58,,Education,Student Performance,Andhra Pradesh,2016,Predictive Analytics / Profiling,Single Source,Niti Aayog,Microsoft,Implemented,,,,https://thewire.in/politics/aadhaar-in-andhra-chandrababu-naidu-microsoft-have-a-plan-for-curbing-school-dropouts,
59,,Education,Facial Recognition for Student Attendance,Tamil Nadu,2019,Machine Learning for Image Recognition,,,,Implemented,,,,https://timesofindia.indiatimes.com/city/chennai/chennai-government-school-sees-85-drop-in-latecomers/articleshow/71121118.cms,
60,,Banking and Finance,Credit Risk Scoring,Across India,,Machine Learning for Image Recognition,,Public Sector Banks,,Proposed,,,,https://www.medianama.com/2020/02/223-economic-survey-january-2020-public-sector-banks-gstn-loans//,
63,,Transport,Automated Number Plate Recognition,Coimbatore,,Machine Learning for Image Recognition,,Coimbatore City Police,,Implemented,Vahan,,,https://www.thehindu.com/news/cities/Coimbatore/smart-traffic-cameras-in-coimbatore-city-in-final-stages-of-integration-with-vahan/article32865756.ece,
64,,Transport,Automated Number Plate Recognition,Behrampur,,Machine Learning for Image Recognition,,Behrampur Municipal Corporation,,Implemented,Vahan,,,https://odishatv.in/odisha-news/beware-traffic-violators-new-itms-system-to-be-launched-in-berhampur-soon-352189,
65,,Transport,Automated Number Plate Recognition,Kerala,,Machine Learning for Image Recognition,,"Motor Vehicles Department, Kerala",,Implemented,Vahan,,,,
66,,Transport,Automated Number Plate Recognition,Kolkata ,,Machine Learning for Image Recognition,,Kolkata Police,,Proposed,Vahan,,,,
67,,Sanitation,"Worker Performance, Urban Planning",Pimpri Chinchwad ,,,,Pimpri Chinchwad Municipal Corporation,,Implemented,,,,https://www.hindustantimes.com/pune-news/pimpri-chinchwad-municipal-corporation-to-track-sanitation-workers-through-smartwatches/story-65rX7WgC5c15HY5gYztVDK.html,
69,Human Efficiency Tracking System (Brand Name Imtrac),Sanitation,"Worker Performance, Urban Planning",Chandigarh,2019,,,Panchkula,Imtac,Implemented,,,,https://www.huffingtonpost.in/entry/swachh-bharat-surveillance-sanitation-chandigarh_in_5fa01933c5b6501b4ba6682f,
70,Human Efficiency Tracking System,Sanitation,"Worker Performance, Urban Planning",Nagpur,2018,,,Nagpur Municipal Corporation,ITI Limited,Implemented,,,,https://thewire.in/labour/sanitation-workers-nagpur-gps-tracking,
71,Human Efficiency Tracking System,Sanitation,"Worker Performance, Urban Planning",Indore,,,,Smart City Indore Development Ltd.,ITI Limited,Implemented,,,,https://www.smartcityindore.org/ongoing-projects/,
